stateID,dimRec,conditionNum,numTrials,sampleSize
d2s0,2,6.83336093735,100,49729
d2s0,3,61.4845220332,100,49729
d2s0,4,687.555937311,100,49729
d2s0,5,8940.59524135,100,49729
d2s0,6,127023.858897,100,49729
d2s0,7,1905657.10157,100,49729
d2s0,8,28157695.5682,100,49729
d2s0,9,413598935.871,100,49729
d2s0,10,6019942806.87,100,49729
d2s1,2,7.49327473193,100,99856
d2s1,3,33.27779773,100,99856
d2s1,4,162.625877485,100,99856
d2s1,5,1484.35559705,100,99856
d2s1,6,18166.8973937,100,99856
d2s1,7,257609.801811,100,99856
d2s1,8,3786343.95392,100,99856
d2s1,9,55761004.278,100,99856
d2s1,10,853041155.529,100,99856
d2s2,2,21.2279076941,100,99856
d2s2,3,150.644423105,100,99856
d2s2,4,884.471342643,100,99856
d2s2,5,5703.50979459,100,99856
d2s2,6,54983.906762,100,99856
d2s2,7,709436.354666,100,99856
d2s2,8,10320028.5482,100,99856
d2s2,9,149560303.972,100,99856
d2s2,10,2215117820.85,100,99856
d2s3,2,5.19397817446,100,74529
d2s3,3,36.1246363791,100,74529
d2s3,4,327.017912255,100,74529
d2s3,5,3577.75425,100,74529
d2s3,6,45500.0138443,100,74529
d2s3,7,643846.093998,100,74529
d2s3,8,9317345.65261,100,74529
d2s3,9,136452605.254,100,74088
d2s3,10,2052310665.45,100,74088
