stateID,dimRec,Sample,LogLik,LogLik_true,rankTrue,numTrials
d2s0,2,1,-1.5933066,-2.261411,1,100
d2s0,2,4,-8.0196195,-9.2316092,1,100
d2s0,2,8,-16.7508363,-18.0874319,1,100
d2s0,2,9,-19.0231381,-20.2732595,1,100
d2s0,2,16,-34.0431134,-35.4179982,1,100
d2s0,2,25,-53.7629983,-55.3080588,1,100
d2s0,2,27,-58.1191851,-59.6634697,1,100
d2s0,2,36,-77.7323987,-79.3401872,1,100
d2s0,2,49,-106.6682185,-108.3286692,1,100
d2s0,2,64,-138.8955543,-140.3257362,1,100
d2s0,2,81,-176.0847355,-177.5068599,1,100
d2s0,2,100,-217.4254962,-218.7245306,1,100
d2s0,2,121,-263.8209404,-265.1603232,1,100
d2s0,2,125,-272.4532801,-273.7657233,1,100
d2s0,2,144,-313.4364987,-314.7462184,1,100
d2s0,2,169,-367.3595543,-368.7000596,1,100
d2s0,2,196,-425.3300617,-426.6468922,1,100
d2s0,2,216,-468.620302,-469.9765454,1,100
d2s0,2,225,-487.6662633,-489.0274978,1,100
d2s0,2,256,-554.6736747,-556.0676582,1,100
d2s0,2,289,-625.5938794,-626.9831636,1,100
d2s0,2,324,-700.5333311,-701.789374,1,100
d2s0,2,343,-741.2733983,-742.4963325,1,100
d2s0,2,361,-779.8151303,-781.0521966,1,100
d2s0,2,400,-864.2281208,-865.4736525,1,100
d2s0,2,441,-951.7049531,-952.9817735,1,100
d2s0,2,484,-1044.092212,-1045.4371822,1,100
d2s0,2,512,-1103.891138,-1105.1787389,1,100
d2s0,2,529,-1140.3882693,-1141.6702324,1,100
d2s0,2,576,-1241.537088,-1242.811162,1,100
d2s0,2,625,-1345.6807045,-1346.9123088,1,100
d2s0,2,676,-1455.2126709,-1456.5721177,1,100
d2s0,2,729,-1567.3960563,-1568.7064363,1,100
d2s0,2,784,-1684.5677987,-1685.8566605,1,100
d2s0,2,841,-1807.4159143,-1808.6856508,1,100
d2s0,2,900,-1932.4655509,-1933.7653414,1,100
d2s0,2,961,-2063.016596,-2064.3009078,1,100
d2s0,2,1000,-2145.5089834,-2146.819478,1,100
d2s0,2,1024,-2195.8890402,-2197.1775785,1,100
d2s0,2,1089,-2334.6239178,-2335.9456395,1,100
d2s0,2,1156,-2478.7668433,-2480.0993515,1,100
d2s0,2,1225,-2627.1408971,-2628.5082141,1,100
d2s0,2,1296,-2779.032115,-2780.3580899,1,100
d2s0,2,1331,-2854.6132818,-2855.9827911,1,100
d2s0,2,1369,-2936.5594686,-2937.9216131,1,100
d2s0,2,1444,-3098.1499678,-3099.5253046,1,100
d2s0,2,1521,-3264.0432991,-3265.3957047,1,100
d2s0,2,1600,-3435.050607,-3436.4435043,1,100
d2s0,2,1681,-3608.3625111,-3609.7299505,1,100
d2s0,2,1728,-3708.7249335,-3710.0805984,1,100
d2s0,2,1764,-3785.666815,-3786.9830829,1,100
d2s0,2,1849,-3965.5869274,-3966.889749,1,100
d2s0,2,1936,-4153.7639096,-4155.0424218,1,100
d2s0,2,2025,-4343.7597593,-4345.0970132,1,100
d2s0,2,2116,-4539.2980957,-4540.6570708,1,100
d2s0,2,2197,-4712.446934,-4713.7443934,1,100
d2s0,2,2209,-4738.1326499,-4739.4501819,1,100
d2s0,2,2304,-4942.5468108,-4943.8182035,1,100
d2s0,2,2401,-5151.0552798,-5152.2535428,1,100
d2s0,2,2500,-5364.8983435,-5366.0977645,1,100
d2s0,2,2601,-5583.4100116,-5584.6477784,1,100
d2s0,2,2704,-5804.7584335,-5806.0396593,1,100
d2s0,2,2744,-5891.4358091,-5892.7338079,1,100
d2s0,2,2809,-6029.3145544,-6030.6026581,1,100
d2s0,2,2916,-6258.7949838,-6260.0185262,1,100
d2s0,2,3025,-6491.7614965,-6493.0110341,1,100
d2s0,2,3136,-6729.0064877,-6730.241854,1,100
d2s0,2,3249,-6971.2005178,-6972.4492381,1,100
d2s0,2,3364,-7217.8297673,-7219.0745451,1,100
d2s0,2,3375,-7241.5702483,-7242.8275241,1,100
d2s0,2,3481,-7469.6964017,-7470.9783312,1,100
d2s0,2,3600,-7726.5378832,-7727.7932216,1,100
d2s0,2,3721,-7982.9518846,-7984.1842072,1,100
d2s0,2,3844,-8245.6528347,-8246.8641089,1,100
d2s0,2,3969,-8514.148043,-8515.3562532,1,100
d2s0,2,4096,-8786.5747306,-8787.7714517,1,100
d2s0,2,4225,-9063.7710157,-9064.9572227,1,100
d2s0,2,4356,-9344.1645455,-9345.3293259,1,100
d2s0,2,4489,-9630.4085567,-9631.5707429,1,100
d2s0,2,4624,-9919.153722,-9920.2896873,1,100
d2s0,2,4761,-10210.9845435,-10212.0985785,1,100
d2s0,2,4900,-10510.3194321,-10511.4677193,1,100
d2s0,2,4913,-10537.9339991,-10539.0866955,1,100
d2s0,2,5041,-10810.5550364,-10811.7336504,1,100
d2s0,2,5184,-11117.192715,-11118.4248076,1,100
d2s0,2,5329,-11428.6382197,-11429.9013664,1,100
d2s0,2,5476,-11744.6266874,-11745.8562439,1,100
d2s0,2,5625,-12063.981701,-12065.2072986,1,100
d2s0,2,5776,-12387.0166259,-12388.2331273,1,100
d2s0,2,5832,-12507.3974332,-12508.6033233,1,100
d2s0,2,5929,-12715.2174099,-12716.4504624,1,100
d2s0,2,6084,-13046.1452961,-13047.3741958,1,100
d2s0,2,6241,-13382.0644813,-13383.2697909,1,100
d2s0,2,6400,-13721.6325897,-13722.8339705,1,100
d2s0,2,6561,-14067.0033252,-14068.263071,1,100
d2s0,2,6724,-14417.8602666,-14419.1001302,1,100
d2s0,2,6859,-14708.2229478,-14709.4634181,1,100
d2s0,2,6889,-14772.8522005,-14774.0840492,1,100
d2s0,2,7056,-15131.7143178,-15132.9466922,1,100
d2s0,2,7225,-15493.5835878,-15494.792737,1,100
d2s0,2,7396,-15862.065052,-15863.2605879,1,100
d2s0,2,7569,-16233.212335,-16234.3909742,1,100
d2s0,2,7744,-16606.5996386,-16607.7510465,1,100
d2s0,2,7921,-16986.4234334,-16987.5628431,1,100
d2s0,2,8000,-17156.3524102,-17157.4887634,1,100
d2s0,2,8100,-17368.336287,-17369.477093,1,100
d2s0,2,8281,-17755.1532691,-17756.3159144,1,100
d2s0,2,8464,-18147.7719435,-18148.9297709,1,100
d2s0,2,8649,-18546.0463898,-18547.21435,1,100
d2s0,2,8836,-18947.5951266,-18948.7738813,1,100
d2s0,2,9025,-19352.3680752,-19353.5684344,1,100
d2s0,2,9216,-19763.6424987,-19764.8448239,1,100
d2s0,2,9261,-19860.5739852,-19861.8034118,1,100
d2s0,2,9409,-20178.3100603,-20179.5392411,1,100
d2s0,2,9604,-20593.9722584,-20595.2097502,1,100
d2s0,2,9801,-21013.1691362,-21014.4039995,1,100
d2s0,2,10000,-21437.2939946,-21438.5525931,1,100
d2s0,2,10201,-21869.1800087,-21870.4621325,1,100
d2s0,2,10404,-22305.7787773,-22307.0744942,1,100
d2s0,2,10609,-22747.9482426,-22749.246746,1,100
d2s0,2,10648,-22832.2118251,-22833.4944384,1,100
d2s0,2,10816,-23192.3702972,-23193.6706934,1,100
d2s0,2,11025,-23639.2624659,-23640.5541443,1,100
d2s0,2,11236,-24095.214456,-24096.5347397,1,100
d2s0,2,11449,-24549.964109,-24551.2862707,1,100
d2s0,2,11664,-25011.2124185,-25012.4977895,1,100
d2s0,2,11881,-25477.8008689,-25479.1126977,1,100
d2s0,2,12100,-25948.6873648,-25950.030301,1,100
d2s0,2,12167,-26092.0320629,-26093.3495408,1,100
d2s0,2,12321,-26421.6734137,-26422.987946,1,100
d2s0,2,12544,-26900.9075141,-26902.2177158,1,100
d2s0,2,12769,-27382.5144262,-27383.8136431,1,100
d2s0,2,12996,-27868.4879679,-27869.7992007,1,100
d2s0,2,13225,-28359.3210991,-28360.6328821,1,100
d2s0,2,13456,-28855.295917,-28856.5791786,1,100
d2s0,2,13689,-29356.5407098,-29357.8338585,1,100
d2s0,2,13824,-29646.3020431,-29647.5896015,1,100
d2s0,2,13924,-29860.9895471,-29862.2587132,1,100
d2s0,2,14161,-30370.3865622,-30371.6596363,1,100
d2s0,2,14400,-30882.4394551,-30883.6870005,1,100
d2s0,2,14641,-31398.7085308,-31399.9755313,1,100
d2s0,2,14884,-31916.4306218,-31917.6816531,1,100
d2s0,2,15129,-32440.8855943,-32442.1420616,1,100
d2s0,2,15376,-32968.518345,-32969.7805772,1,100
d2s0,2,15625,-33500.1581893,-33501.4234241,1,100
d2s0,2,15876,-34036.3539657,-34037.6115313,1,100
d2s0,2,16129,-34577.1006771,-34578.3546543,1,100
d2s0,2,16384,-35125.6210513,-35126.9147333,1,100
d2s0,2,16641,-35677.8752508,-35679.1432226,1,100
d2s0,2,16900,-36233.7749226,-36235.0275868,1,100
d2s0,2,17161,-36795.8375841,-36797.0844978,1,100
d2s0,2,17424,-37358.8800489,-37360.1224756,1,100
d2s0,2,17576,-37684.0721941,-37685.3352023,1,100
d2s0,2,17689,-37927.4088559,-37928.6838423,1,100
d2s0,2,17956,-38501.9858726,-38503.2565174,1,100
d2s0,2,18225,-39080.752314,-39082.0459953,1,100
d2s0,2,18496,-39660.8448298,-39662.1591208,1,100
d2s0,2,18769,-40246.8912247,-40248.2137324,1,100
d2s0,2,19044,-40836.9901733,-40838.3467894,1,100
d2s0,2,19321,-41434.2954388,-41435.6652702,1,100
d2s0,2,19600,-42030.9250403,-42032.2970288,1,100
d2s0,2,19683,-42208.6890533,-42210.0793655,1,100
d2s0,2,19881,-42632.984014,-42634.3626737,1,100
d2s0,2,20164,-43239.6046587,-43240.9623741,1,100
d2s0,2,20449,-43852.5068327,-43853.8553183,1,100
d2s0,2,20736,-44468.7213081,-44470.0416409,1,100
d2s0,2,21025,-45088.1316318,-45089.4307462,1,100
d2s0,2,21316,-45714.1743312,-45715.4945104,1,100
d2s0,2,21609,-46342.0954854,-46343.407264,1,100
d2s0,2,21904,-46974.9746283,-46976.283447,1,100
d2s0,2,21952,-47077.4152261,-47078.7249897,1,100
d2s0,2,22201,-47611.6894415,-47613.0150519,1,100
d2s0,2,22500,-48255.673179,-48257.0383302,1,100
d2s0,2,22801,-48900.3594753,-48901.7456327,1,100
d2s0,2,23104,-49550.1194966,-49551.486092,1,100
d2s0,2,23409,-50204.684975,-50206.0429311,1,100
d2s0,2,23716,-50861.5497422,-50862.9081858,1,100
d2s0,2,24025,-51525.2439218,-51526.6273851,1,100
d2s0,2,24336,-52192.8441711,-52194.2192564,1,100
d2s0,2,24389,-52307.0364805,-52308.4051074,1,100
d2s0,2,24649,-52864.2245201,-52865.5857069,1,100
d2s0,2,24964,-53540.5070979,-53541.882567,1,100
d2s0,2,25281,-54220.4897313,-54221.8542207,1,100
d2s0,2,25600,-54904.7840106,-54906.1470186,1,100
d2s0,2,25921,-55591.3759318,-55592.7449656,1,100
d2s0,2,26244,-56284.0162241,-56285.3602661,1,100
d2s0,2,26569,-56978.9255914,-56980.25003,1,100
d2s0,2,26896,-57678.5915961,-57679.9215552,1,100
d2s0,2,27000,-57900.6166576,-57901.9447076,1,100
d2s0,2,27225,-58382.6202301,-58383.9550125,1,100
d2s0,2,27556,-59091.1150917,-59092.4178424,1,100
d2s0,2,27889,-59803.2415272,-59804.5467636,1,100
d2s0,2,28224,-60520.5677074,-60521.8537952,1,100
d2s0,2,28561,-61243.6562185,-61244.9500468,1,100
d2s0,2,28900,-61970.5197449,-61971.8054428,1,100
d2s0,2,29241,-62704.63444,-62705.9350606,1,100
d2s0,2,29584,-63432.7709306,-63434.0559851,1,100
d2s0,2,29791,-63878.5475139,-63879.8411499,1,100
d2s0,2,29929,-64174.9299015,-64176.2124789,1,100
d2s0,2,30276,-64917.9507747,-64919.2085797,1,100
d2s0,2,30625,-65664.8099267,-65666.069423,1,100
d2s0,2,30976,-66417.036943,-66418.304055,1,100
d2s0,2,31329,-67174.751583,-67175.9855566,1,100
d2s0,2,31684,-67939.2006227,-67940.4756405,1,100
d2s0,2,32041,-68707.7280118,-68709.0417847,1,100
d2s0,2,32400,-69476.4806756,-69477.7760292,1,100
d2s0,2,32761,-70251.219625,-70252.5038316,1,100
d2s0,2,32768,-70265.9802599,-70267.265752,1,100
d2s0,2,33124,-71029.1628037,-71030.4286041,1,100
d2s0,2,33489,-71812.1880942,-71813.4768427,1,100
d2s0,2,33856,-72599.5716929,-72600.8637628,1,100
d2s0,2,34225,-73391.2621427,-73392.5505129,1,100
d2s0,2,34596,-74185.5506979,-74186.8642813,1,100
d2s0,2,34969,-74983.6008353,-74984.9150365,1,100
d2s0,2,35344,-75786.6614315,-75787.9982156,1,100
d2s0,2,35721,-76594.2634656,-76595.6061639,1,100
d2s0,2,35937,-77057.8708069,-77059.2035928,1,100
d2s0,2,36100,-77407.1887577,-77408.5272198,1,100
d2s0,2,36481,-78223.3891981,-78224.7076668,1,100
d2s0,2,36864,-79046.5064931,-79047.8212655,1,100
d2s0,2,37249,-79869.5346095,-79870.8455531,1,100
d2s0,2,37636,-80697.7872319,-80699.1068311,1,100
d2s0,2,38025,-81531.5298956,-81532.8569997,1,100
d2s0,2,38416,-82367.5518346,-82368.8344504,1,100
d2s0,2,38809,-83211.9984893,-83213.261996,1,100
d2s0,2,39204,-84056.5946078,-84057.8409667,1,100
d2s0,2,39304,-84271.4513542,-84272.7094269,1,100
d2s0,2,39601,-84908.6707502,-84909.9272858,1,100
d2s0,2,40000,-85763.7689256,-85765.0131054,1,100
