dimRec,rankTrue,llrs,numTrials
2,1,2.41276502823,500
2,2,2.82930586034,500
3,1,5.50188248473,500
3,2,7.4235507643,500
3,3,7.98862830173,500
4,1,8.34198140666,500
4,2,12.2717270858,500
4,3,14.07622844,500
4,4,14.644822624,500
5,1,11.515557477,500
5,2,17.4662128876,500
5,3,20.716621012,500
5,4,22.6635537239,500
5,5,23.2212611767,500
6,1,15.2577007078,500
6,2,23.7761496119,500
6,3,29.0535459034,500
6,4,32.3115000166,500
6,5,33.9840402322,500
6,6,34.5270873792,500
7,1,19.1401361855,500
7,2,30.3185436608,500
7,3,37.3664251194,500
7,4,42.4669995983,500
7,5,45.4367202147,500
7,6,47.000107659,500
7,7,47.4733559367,500
8,1,22.7635289026,500
8,2,36.5351849547,500
8,3,46.3738648207,500
8,4,52.9476868731,500
8,5,57.9214996473,500
8,6,61.043425985,500
8,7,62.7840586072,500
8,8,63.3003807019,500
9,1,26.8937286369,500
9,2,43.3063383205,500
9,3,55.1069084927,500
9,4,63.9548185943,500
9,5,70.407776854,500
9,6,74.800894774,500
9,7,77.6972957925,500
9,8,79.2550639004,500
9,9,79.7259752502,500
10,1,30.9105214645,500
10,2,50.3408446539,500
10,3,64.5603750718,500
10,4,75.2605906609,500
10,5,83.1809907387,500
10,6,88.7829677683,500
10,7,93.0958096723,500
10,8,95.9380645831,500
10,9,97.3929677816,500
10,10,97.8566887691,500
11,1,35.140454022,500
11,2,57.2715339717,500
11,3,73.8668581219,500
11,4,86.5156259913,500
11,5,96.4900714109,500
11,6,104.629148577,500
11,7,110.367177001,500
11,8,114.728339043,500
11,9,117.444496783,500
11,10,119.165031782,500
12,1,39.1758028982,500
12,2,65.0595182836,500
12,3,83.8523160088,500
12,4,98.5210947264,500
12,5,110.576200361,500
12,6,120.463059879,500
12,7,128.18829537,500
12,8,133.967485933,500
12,9,138.18967908,500
12,10,140.982459238,500
13,1,42.5998273664,500
13,2,71.4782586403,500
13,3,93.1802134741,500
13,4,110.62124905,500
13,5,124.775265281,500
13,6,136.030890194,500
13,7,145.092716289,500
13,8,151.966691717,500
13,9,157.605195716,500
13,10,161.710984803,500
14,1,47.6397213643,500
14,2,79.5602879107,500
14,3,104.48388762,500
14,4,124.271050087,500
14,5,140.643806891,500
14,6,153.46394759,500
14,7,164.739000267,500
14,8,173.488642715,500
14,9,180.401298658,500
14,10,186.01622421,500
15,1,51.3557502593,500
15,2,87.0752924149,500
15,3,114.223544391,500
15,4,136.005143024,500
15,5,154.340506595,500
15,6,169.948222086,500
15,7,182.823991055,500
15,8,193.645473581,500
15,9,201.688133095,500
15,10,208.522385964,500
16,1,54.7502875899,500
16,2,93.2766198177,500
16,3,123.718568391,500
16,4,148.188786157,500
16,5,168.937330073,500
16,6,186.03069828,500
16,7,200.7817068,500
16,8,213.421124151,500
16,9,224.14699632,500
16,10,232.594687796,500
17,1,59.0084508161,500
17,2,100.644822771,500
17,3,134.283529123,500
17,4,162.364144186,500
17,5,185.35644533,500
17,6,204.882685193,500
17,7,221.784993177,500
17,8,236.118456765,500
17,9,248.040448344,500
17,10,258.3305835,500
18,1,65.4095556952,500
18,2,110.348796943,500
18,3,146.277521886,500
18,4,175.723821526,500
18,5,201.398337832,500
18,6,223.317378047,500
18,7,242.159253451,500
18,8,258.199246945,500
18,9,271.587232558,500
18,10,283.263568721,500
19,1,68.5574403018,500
19,2,116.927344499,500
19,3,156.156873009,500
19,4,189.057567142,500
19,5,216.686271774,500
19,6,240.339413788,500
19,7,261.203449477,500
19,8,279.374948808,500
19,9,295.031842749,500
19,10,308.915395391,500
20,1,73.7543254509,500
20,2,126.093831462,500
20,3,168.747436651,500
20,4,204.186108434,500
20,5,234.239597172,500
20,6,260.42371837,500
20,7,283.568106923,500
20,8,303.559671938,500
20,9,320.722053206,500
20,10,335.567097052,500
21,1,77.1985834251,500
21,2,132.433454689,500
21,3,178.121484096,500
21,4,216.203986408,500
21,5,250.065548282,500
21,6,278.642659738,500
21,7,303.857732342,500
21,8,325.864106689,500
21,9,345.284630413,500
21,10,362.090584848,500
22,1,80.8879359238,500
22,2,140.103213518,500
22,3,188.889439052,500
22,4,230.036017011,500
22,5,266.20009643,500
22,6,297.035615246,500
22,7,325.383627368,500
22,8,349.429597762,500
22,9,370.44773189,500
22,10,389.223810896,500
23,1,85.4919787853,500
23,2,146.950512513,500
23,3,198.691299449,500
23,4,243.2623325,500
23,5,281.410002357,500
23,6,315.220061761,500
23,7,344.600532286,500
23,8,371.354424754,500
23,9,394.983145299,500
23,10,416.09748542,500
24,1,89.9353940343,500
24,2,157.069115546,500
24,3,213.555661895,500
24,4,260.517459909,500
24,5,301.681672339,500
24,6,338.186475627,500
24,7,369.755594593,500
24,8,397.994555107,500
24,9,423.456669487,500
24,10,445.654033636,500
25,1,94.3389193485,500
25,2,164.87480382,500
25,3,223.128546961,500
25,4,274.07060316,500
25,5,318.590870879,500
25,6,357.277598554,500
25,7,391.192547104,500
25,8,421.477800277,500
25,9,449.143285597,500
25,10,473.502127223,500
26,1,101.081615504,500
26,2,174.433503318,500
26,3,236.655174594,500
26,4,290.6765096,500
26,5,337.38577541,500
26,6,378.61521419,500
26,7,416.026949452,500
26,8,448.983323364,500
26,9,478.319127971,500
26,10,505.12026474,500
27,1,104.406553191,500
27,2,182.342785032,500
27,3,246.974734359,500
27,4,303.65486963,500
27,5,352.024164063,500
27,6,395.858643307,500
27,7,436.300151462,500
27,8,470.884325656,500
27,9,502.697243526,500
27,10,531.416065124,500
28,1,108.413664563,500
28,2,191.41581441,500
28,3,259.77911248,500
28,4,319.162886664,500
28,5,370.671826078,500
28,6,417.08842413,500
28,7,458.787965336,500
28,8,496.384894257,500
28,9,530.347189637,500
28,10,561.857785134,500
29,1,114.746347321,500
29,2,199.835363281,500
29,3,271.758595003,500
29,4,333.641879093,500
29,5,388.361782626,500
29,6,437.234585561,500
29,7,482.313399488,500
29,8,522.027548055,500
29,9,558.44621013,500
29,10,591.074822459,500
30,1,119.412132352,500
30,2,208.469321916,500
30,3,283.541685505,500
30,4,348.737271742,500
30,5,405.40706586,500
30,6,457.007354383,500
30,7,503.728721208,500
30,8,546.08485369,500
30,9,584.193869438,500
30,10,618.944673717,500
31,1,122.882495954,500
31,2,216.007198008,500
31,3,294.814780365,500
31,4,362.298294478,500
31,5,423.940851052,500
31,6,478.564026571,500
31,7,527.637407745,500
31,8,572.508203577,500
31,9,613.884927018,500
31,10,651.619255036,500
