dimRec,rankTrue,Wilks_Theorem,Our_Model
2,1,3.0,2.98511314548
2,2,3.0,2.0
3,1,8.0,5.53845735909
3,2,8.0,11.7237289879
3,3,8.0,6.0
4,1,15.0,8.60911641626
4,2,15.0,13.9404525819
4,3,15.0,12.0
4,4,15.0,12.0
5,1,24.0,11.9380033716
5,2,24.0,18.6371321036
5,3,24.0,28.2334532527
5,4,24.0,20.0
5,5,24.0,20.0
6,1,35.0,15.4444069442
6,2,35.0,24.1538294364
6,3,35.0,32.8660183093
6,4,35.0,50.8949159518
6,5,35.0,30.0
6,6,35.0,30.0
7,1,48.0,19.08680066
7,2,48.0,30.1332225712
7,3,48.0,39.6348982677
7,4,48.0,52.9892571029
7,5,48.0,40.0
7,6,48.0,42.0
7,7,48.0,42.0
8,1,63.0,22.8392127392
8,2,63.0,36.436465665
8,3,63.0,47.4237664299
8,4,63.0,59.7618103276
8,5,63.0,80.652627391
8,6,63.0,54.0
8,7,63.0,56.0
8,8,63.0,56.0
9,1,80.0,26.683688509
9,2,80.0,42.9910385792
9,3,80.0,55.8461162319
9,4,80.0,68.5750301578
9,5,80.0,85.7838579693
9,6,80.0,117.513560891
9,7,80.0,70.0
9,8,80.0,72.0
9,9,80.0,72.0
10,1,99.0,30.6070327888
10,2,99.0,49.7520134864
10,3,99.0,64.7233034843
10,4,99.0,78.5485284143
10,5,99.0,94.6278286369
10,6,99.0,118.933813011
10,7,99.0,165.251159112
10,8,99.0,88.0
10,9,99.0,90.0
10,10,99.0,90.0
11,1,120.0,34.5991344734
11,2,120.0,56.6884712431
11,3,120.0,73.9561061579
11,4,120.0,89.2959774785
11,5,120.0,105.471552577
11,6,120.0,126.576067734
11,7,120.0,160.449636827
11,8,120.0,104.0
11,9,120.0,108.0
11,10,120.0,110.0
12,1,143.0,38.6520039215
12,2,143.0,63.7776277768
12,3,143.0,83.4820477463
12,4,143.0,100.615317746
12,5,143.0,117.578931266
12,6,143.0,137.464073237
12,7,143.0,165.405399108
12,8,143.0,211.579663807
12,9,143.0,126.0
12,10,143.0,130.0
13,1,168.0,42.7591759852
13,2,168.0,71.0018887633
13,3,168.0,93.2581467312
13,4,168.0,112.386871177
13,5,168.0,130.575831705
13,6,168.0,150.330420421
13,7,168.0,175.352185955
13,8,168.0,212.10404855
13,9,168.0,273.585223074
13,10,168.0,150.0
14,1,195.0,46.9153184715
14,2,195.0,78.34720264
14,3,195.0,103.252883223
14,4,195.0,124.532890285
14,5,195.0,144.248052885
14,6,195.0,164.539593071
14,7,195.0,188.270544128
14,8,195.0,219.957028412
14,9,195.0,267.66617075
14,10,195.0,170.0
15,1,224.0,51.1159640522
15,2,224.0,85.8020607776
15,3,224.0,113.442030344
15,4,224.0,136.999182942
15,5,224.0,158.461433977
15,6,224.0,179.734188932
15,7,224.0,203.154597943
15,8,224.0,232.106346508
15,9,224.0,272.101079274
15,10,224.0,333.093224699
16,1,255.0,55.3573203001
16,2,255.0,93.3568509569
16,3,255.0,123.806297763
16,4,255.0,149.74586266
16,5,255.0,173.125834509
16,6,255.0,195.69506572
16,7,255.0,219.443984925
16,8,255.0,247.04724131
16,9,255.0,282.541550167
16,10,255.0,332.610509564
17,1,288.0,59.636131256
17,2,288.0,101.003418131
17,3,288.0,134.329904234
17,4,288.0,162.742296376
17,5,288.0,188.177200729
17,6,288.0,212.278400258
17,7,288.0,236.7992607
17,8,288.0,263.945727778
17,9,288.0,296.835617711
17,10,288.0,340.280580536
18,1,323.0,63.9495741515
18,2,323.0,108.734754036
18,3,323.0,144.999662498
18,4,323.0,175.964154317
18,5,323.0,203.567908012
18,6,323.0,229.384464927
18,7,323.0,255.000826109
18,8,323.0,282.300120631
18,9,323.0,313.794164784
18,10,323.0,353.135431877
19,1,360.0,68.295180803
19,2,360.0,116.54477076
19,3,360.0,155.804364494
19,4,360.0,189.391588538
19,5,360.0,219.26121607
19,6,360.0,246.94090603
19,7,360.0,273.898831336
19,8,360.0,301.788683436
19,9,360.0,332.70479392
19,10,360.0,369.538371257
