stateID,"0,0","0,1","0,2","0,3","0,4","1,0","1,1","1,2","1,3","1,4","2,0","2,1","2,2","2,3","2,4","3,0","3,1","3,2","3,3","3,4","4,0","4,1","4,2","4,3","4,4"
d2s0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d2s1,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d2s2,(0.5+0j),(0.5+0j),0j,0j,0j,(0.5+0j),(0.5+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d2s3,(0.5+0j),0j,0j,0j,0j,0j,(0.5+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d3s0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d3s1,(0.25+0j),0j,0j,0j,0j,0j,(0.65+0j),0j,0j,0j,0j,0j,(0.1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d3s2,0j,0j,0j,0j,0j,0j,(0.65+0j),0j,0j,0j,0j,0j,(0.35+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d3s3,(0.5+0j),0j,(0.5+0j),0j,0j,0j,0j,0j,0j,0j,(0.5+0j),0j,(0.5+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
d4s0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j
d4s1,(0.1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.9+0j),0j,0j,0j,0j,0j,0j
d4s2,(0.5+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.5+0j),0j,0j,0j,0j,0j,0j
d4s3,(0.9+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1+0j),0j,0j,0j,0j,0j,0j
d4s4,(0.25+0j),0j,0j,0j,0j,0j,(0.25+0j),0j,0j,0j,0j,0j,(0.25+0j),0j,0j,0j,0j,0j,(0.25+0j),0j,0j,0j,0j,0j,0j
d5s0,(0.2+0j),0j,0j,0j,0j,0j,(0.2+0j),0j,0j,0j,0j,0j,(0.2+0j),0j,0j,0j,0j,0j,(0.2+0j),0j,0j,0j,0j,0j,(0.2+0j)
d5s1,(0.51724138+0j),0j,0j,0j,0j,0j,(0.10344828+0j),0j,0j,0j,0j,0j,(0.34482759+0j),0j,0j,0j,0j,0j,(0.01724138+0j),0j,0j,0j,0j,0j,(0.01724138+0j)
d5s2,(0.058+0j),0j,0j,0j,0j,0j,(0.5+0j),0j,0j,0j,0j,0j,(0.4+0j),0j,0j,0j,0j,0j,(0.04+0j),0j,0j,0j,0j,0j,(0.002+0j)
